,2021 CPI-U-RS Adjusted Dollars,,
Name,2020,"Preceding
 Period","Year Ago
 from Period"
The United States,"71,186","72,808","72,808"
Alabama,"57,243","59,558","59,558"
Alaska,"78,236","83,079","83,079"
Arizona,"70,220","74,897","74,897"
Arkansas,"53,148","57,799","57,799"
California,"81,278","82,772","82,772"
Colorado,"87,689","76,832","76,832"
Connecticut,"83,141","92,507","92,507"
Delaware,"73,292","78,628","78,628"
District of Columbia,"92,337","98,675","98,675"
Florida,"60,460","61,856","61,856"
Georgia,"62,033","60,012","60,012"
Hawaii,"84,600","93,265","93,265"
Idaho,"69,841","69,932","69,932"
Illinois,"77,805","78,845","78,845"
Indiana,"69,925","70,679","70,679"
Iowa,"72,030","70,002","70,002"
Kansas,"76,495","77,523","77,523"
Kentucky,"59,405","58,989","58,989"
Louisiana,"53,576","54,797","54,797"
Maine,"66,667","70,523","70,523"
Maryland,"99,215","101,283","101,283"
Massachusetts,"91,912","92,949","92,949"
Michigan,"67,399","67,951","67,951"
Minnesota,"82,431","86,292","86,292"
Mississippi,"47,242","47,463","47,463"
Missouri,"65,081","64,218","64,218"
Montana,"59,390","63,792","63,792"
Nebraska,"75,622","77,437","77,437"
Nevada,"64,020","75,143","75,143"
New Hampshire,"93,045","92,093","92,093"
New Jersey,"89,543","92,969","92,969"
New Mexico,"53,283","56,287","56,287"
New York,"71,865","76,149","76,149"
North Carolina,"63,252","64,814","64,814"
North Dakota,"67,109","74,216","74,216"
Ohio,"63,198","68,527","68,527"
Oklahoma,"54,921","62,946","62,946"
Oregon,"80,443","78,860","78,860"
Pennsylvania,"74,094","74,800","74,800"
Rhode Island,"83,918","74,344","74,344"
South Carolina,"63,159","65,735","65,735"
South Dakota,"73,467","68,095","68,095"
Tennessee,"57,542","60,011","60,011"
Texas,"71,599","71,474","71,474"
Utah,"87,915","89,574","89,574"
Vermont,"70,398","78,746","78,746"
Virginia,"86,053","86,172","86,172"
Washington,"85,157","87,381","87,381"
West Virginia,"54,396","56,916","56,916"
Wisconsin,"70,553","71,380","71,380"
Wyoming,"68,506","69,027","69,027"